Life tables (period 5x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
NLD      1950-1959     50-54     0.00587  0.02895  2.67   91733    2656  452478  2449691  26.70
NLD      1950-1959     55-59     0.00941  0.04605  2.67   89077    4102  435838  1997213  22.42
NLD      1950-1959     60-64     0.01521  0.07344  2.66   84975    6241  410289  1561375  18.37
NLD      1950-1959     65-69     0.02524  0.11917  2.66   78734    9383  371697  1151086  14.62
NLD      1950-1959     70-74     0.04331  0.19647  2.64   69351   13625  314615   779389  11.24
NLD      1950-1959     75-79     0.07516  0.31767  2.56   55726   17702  235522   464775   8.34
NLD      1950-1959     80-84     0.12579  0.47614  2.45   38024   18105  143932   229253   6.03
NLD      1950-1959     85-89     0.20344  0.65401  2.27   19919   13027   64035    85321   4.28
NLD      1950-1959     90-94     0.30312  0.79980  2.05    6892    5512   18185    21287   3.09
NLD      1950-1959     95-99     0.43416  0.90290  1.77    1380    1246    2869     3102   2.25
NLD      1950-1959    100-104    0.57040  0.95460  1.52     134     128     224      233   1.74
NLD      1950-1959    105-109    0.69719  0.97760  1.32       6       6       9        9   1.43
NLD      1950-1959    110+       0.78849  1.00000  1.27       0       0       0        0   1.27
NLD      1960-1969        0      0.01490  0.01471  0.12  100000    1471   98704  7353950  73.54
NLD      1960-1969      1-4      0.00109  0.00434  1.60   98529     428  393090  7255246  73.64
NLD      1960-1969      5-9      0.00048  0.00242  2.27   98101     237  489857  6862156  69.95
NLD      1960-1969     10-14     0.00036  0.00178  2.55   97864     174  488893  6372299  65.11
NLD      1960-1969     15-19     0.00060  0.00300  2.72   97690     293  487781  5883405  60.23
NLD      1960-1969     20-24     0.00072  0.00361  2.50   97397     351  486108  5395625  55.40
NLD      1960-1969     25-29     0.00076  0.00379  2.53   97046     367  484321  4909517  50.59
NLD      1960-1969     30-34     0.00091  0.00454  2.60   96679     439  482339  4425195  45.77
NLD      1960-1969     35-39     0.00132  0.00660  2.67   96240     635  479714  3942856  40.97
NLD      1960-1969     40-44     0.00211  0.01050  2.68   95604    1003  475696  3463142  36.22
NLD      1960-1969     45-49     0.00351  0.01740  2.70   94601    1646  469221  2987446  31.58
NLD      1960-1969     50-54     0.00580  0.02864  2.69   92955    2662  458635  2518225  27.09
NLD      1960-1969     55-59     0.00947  0.04632  2.68   90292    4182  441762  2059590  22.81
NLD      1960-1969     60-64     0.01538  0.07425  2.66   86110    6394  415604  1617828  18.79
NLD      1960-1969     65-69     0.02497  0.11790  2.64   79716    9399  376401  1202224  15.08
NLD      1960-1969     70-74     0.04077  0.18584  2.62   70317   13068  320524   825823  11.74
NLD      1960-1969     75-79     0.06847  0.29354  2.57   57250   16805  245446   505299   8.83
NLD      1960-1969     80-84     0.11478  0.44475  2.47   40445   17988  156709   259853   6.42
NLD      1960-1969     85-89     0.18504  0.61746  2.31   22457   13866   74937   103144   4.59
NLD      1960-1969     90-94     0.28244  0.77595  2.10    8591    6666   23601    28206   3.28
NLD      1960-1969     95-99     0.40557  0.88613  1.82    1925    1706    4205     4606   2.39
NLD      1960-1969    100-104    0.54177  0.94682  1.56     219     208     383      400   1.83
NLD      1960-1969    105-109    0.67358  0.97454  1.35      12      11      17       17   1.48
NLD      1960-1969    110+       0.77109  1.00000  1.30       0       0       0        0   1.30
NLD      1970-1979        0      0.01050  0.01040  0.13  100000    1040   99093  7454486  74.54
NLD      1970-1979      1-4      0.00079  0.00317  1.59   98960     314  395082  7355394  74.33
NLD      1970-1979      5-9      0.00037  0.00185  2.34   98646     182  492747  6960312  70.56
NLD      1970-1979     10-14     0.00031  0.00155  2.60   98464     153  491953  6467564  65.68
NLD      1970-1979     15-19     0.00066  0.00330  2.75   98311     325  490824  5975611  60.78
NLD      1970-1979     20-24     0.00071  0.00354  2.42   97986     347  489036  5484787  55.98
NLD      1970-1979     25-29     0.00066  0.00330  2.53   97640     322  487404  4995751  51.17
NLD      1970-1979     30-34     0.00084  0.00417  2.63   97318     406  485628  4508347  46.33
NLD      1970-1979     35-39     0.00121  0.00602  2.69   96912     583  483211  4022719  41.51
NLD      1970-1979     40-44     0.00202  0.01004  2.72   96329     967  479442  3539509  36.74
NLD      1970-1979     45-49     0.00349  0.01732  2.69   95361    1652  472989  3060067  32.09
NLD      1970-1979     50-54     0.00565  0.02790  2.69   93710    2614  462505  2587078  27.61
NLD      1970-1979     55-59     0.00913  0.04470  2.67   91096    4072  445978  2124573  23.32
NLD      1970-1979     60-64     0.01487  0.07186  2.66   87023    6254  420493  1678594  19.29
NLD      1970-1979     65-69     0.02415  0.11424  2.65   80769    9227  382124  1258101  15.58
NLD      1970-1979     70-74     0.03900  0.17844  2.62   71542   12766  327325   875977  12.24
NLD      1970-1979     75-79     0.06340  0.27465  2.57   58776   16143  254613   548652   9.33
NLD      1970-1979     80-84     0.10331  0.41009  2.49   42634   17483  169240   294039   6.90
NLD      1970-1979     85-89     0.16676  0.57820  2.35   25150   14542   87201   124798   4.96
NLD      1970-1979     90-94     0.25746  0.74231  2.15   10608    7875   30585    37597   3.54
NLD      1970-1979     95-99     0.37547  0.86538  1.89    2734    2366    6301     7012   2.56
NLD      1970-1979    100-104    0.51047  0.93670  1.62     368     345     675      711   1.93
NLD      1970-1979    105-109    0.64585  0.97032  1.40      23      23      35       36   1.54
NLD      1970-1979    110+       0.74856  1.00000  1.34       1       1       1        1   1.34
NLD      1980-1989        0      0.00793  0.00788  0.13  100000     788   99317  7638394  76.38
NLD      1980-1989      1-4      0.00046  0.00185  1.59   99212     184  396407  7539077  75.99
NLD      1980-1989      5-9      0.00022  0.00109  2.35   99028     108  494855  7142670  72.13
NLD      1980-1989     10-14     0.00021  0.00106  2.62   98920     105  494351  6647815  67.20
NLD      1980-1989     15-19     0.00044  0.00220  2.78   98815     217  493593  6153465  62.27
NLD      1980-1989     20-24     0.00057  0.00284  2.49   98598     280  492288  5659871  57.40
NLD      1980-1989     25-29     0.00058  0.00291  2.56   98318     286  490891  5167583  52.56
