Life tables (period 5x5), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
SWE      1995-1999     80-84     0.06332  0.27513  2.62   66213   18217  287704   580719   8.77
SWE      1995-1999     85-89     0.11814  0.45640  2.51   47996   21905  185421   293014   6.11
SWE      1995-1999     90-94     0.20909  0.66750  2.29   26091   17416   83291   107594   4.12
SWE      1995-1999     95-99     0.33776  0.83741  1.99    8675    7265   21508    24302   2.80
SWE      1995-1999    100-104    0.49647  0.93364  1.66    1410    1317    2652     2794   1.98
SWE      1995-1999    105-109    0.65766  0.97310  1.38      94      91     139      142   1.51
SWE      1995-1999    110+       0.77604  1.00000  1.29       3       3       3        3   1.29
SWE      2000-2004        0      0.00295  0.00294  0.14  100000     294   99748  8224397  82.24
SWE      2000-2004      1-4      0.00014  0.00057  1.61   99706      57  398687  8124649  81.49
SWE      2000-2004      5-9      0.00009  0.00045  2.30   99649      45  498124  7725961  77.53
SWE      2000-2004     10-14     0.00010  0.00052  2.88   99604      52  497912  7227837  72.57
SWE      2000-2004     15-19     0.00025  0.00123  2.91   99553     122  497508  6729925  67.60
SWE      2000-2004     20-24     0.00024  0.00119  2.33   99431     119  496836  6232417  62.68
SWE      2000-2004     25-29     0.00027  0.00136  2.56   99312     135  496230  5735581  57.75
SWE      2000-2004     30-34     0.00034  0.00168  2.62   99177     166  495488  5239351  52.83
SWE      2000-2004     35-39     0.00055  0.00276  2.66   99010     273  494412  4743863  47.91
SWE      2000-2004     40-44     0.00088  0.00439  2.72   98737     434  492698  4249451  43.04
SWE      2000-2004     45-49     0.00162  0.00805  2.72   98303     791  489713  3756753  38.22
SWE      2000-2004     50-54     0.00258  0.01285  2.64   97513    1253  484612  3267039  33.50
SWE      2000-2004     55-59     0.00423  0.02097  2.70   96260    2019  476652  2782428  28.91
SWE      2000-2004     60-64     0.00644  0.03173  2.63   94241    2990  464115  2305776  24.47
SWE      2000-2004     65-69     0.01033  0.05047  2.69   91251    4605  445610  1841661  20.18
SWE      2000-2004     70-74     0.01738  0.08351  2.66   86646    7236  416321  1396051  16.11
SWE      2000-2004     75-79     0.03084  0.14400  2.71   79410   11435  370835   979730  12.34
SWE      2000-2004     80-84     0.05948  0.26085  2.64   67975   17731  298105   608895   8.96
SWE      2000-2004     85-89     0.11499  0.44767  2.53   50244   22493  195612   310789   6.19
SWE      2000-2004     90-94     0.20639  0.66252  2.30   27751   18386   89084   115177   4.15
SWE      2000-2004     95-99     0.33954  0.83971  1.99    9365    7864   23162    26093   2.79
SWE      2000-2004    100-104    0.50393  0.93679  1.65    1501    1406    2791     2932   1.95
SWE      2000-2004    105-109    0.66952  0.97499  1.37      95      93     138      141   1.49
SWE      2000-2004    110+       0.78911  1.00000  1.27       2       2       3        3   1.27
SWE      2005-2009        0      0.00243  0.00243  0.14  100000     243   99792  8300513  83.01
SWE      2005-2009      1-4      0.00017  0.00069  1.57   99757      68  398863  8200721  82.21
SWE      2005-2009      5-9      0.00007  0.00034  2.42   99689      34  498356  7801859  78.26
SWE      2005-2009     10-14     0.00008  0.00038  2.66   99655      38  498184  7303503  73.29
SWE      2005-2009     15-19     0.00020  0.00099  2.59   99617      99  497845  6805319  68.32
SWE      2005-2009     20-24     0.00025  0.00127  2.39   99518     127  497257  6307475  63.38
SWE      2005-2009     25-29     0.00026  0.00130  2.55   99391     129  496639  5810217  58.46
SWE      2005-2009     30-34     0.00034  0.00167  2.55   99262     166  495902  5313578  53.53
SWE      2005-2009     35-39     0.00051  0.00256  2.70   99096     253  494897  4817676  48.62
SWE      2005-2009     40-44     0.00082  0.00408  2.73   98842     403  493298  4322780  43.73
SWE      2005-2009     45-49     0.00138  0.00690  2.71   98439     679  490640  3829482  38.90
SWE      2005-2009     50-54     0.00240  0.01191  2.67   97760    1165  486090  3338842  34.15
SWE      2005-2009     55-59     0.00378  0.01871  2.67   96596    1808  478768  2852752  29.53
SWE      2005-2009     60-64     0.00607  0.02992  2.70   94788    2836  467414  2373984  25.05
SWE      2005-2009     65-69     0.00966  0.04723  2.64   91953    4343  449534  1906570  20.73
SWE      2005-2009     70-74     0.01576  0.07604  2.68   87609    6662  422620  1457036  16.63
