Life tables (period 5x10), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
GBR_NP   2010-2019     25-29     0.00029  0.00146  2.63   99314     145  496228  5791992  58.32
GBR_NP   2010-2019     30-34     0.00045  0.00223  2.67   99169     221  495333  5295764  53.40
GBR_NP   2010-2019     35-39     0.00069  0.00346  2.67   98948     342  493944  4800431  48.51
GBR_NP   2010-2019     40-44     0.00107  0.00536  2.68   98606     528  491805  4306487  43.67
GBR_NP   2010-2019     45-49     0.00166  0.00825  2.66   98078     809  488494  3814682  38.89
GBR_NP   2010-2019     50-54     0.00259  0.01286  2.66   97269    1251  483423  3326188  34.20
GBR_NP   2010-2019     55-59     0.00402  0.01992  2.67   96018    1912  475640  2842765  29.61
GBR_NP   2010-2019     60-64     0.00630  0.03107  2.66   94106    2924  463689  2367126  25.15
GBR_NP   2010-2019     65-69     0.00980  0.04791  2.67   91183    4368  445725  1903436  20.88
GBR_NP   2010-2019     70-74     0.01633  0.07866  2.68   86814    6829  418255  1457711  16.79
GBR_NP   2010-2019     75-79     0.02869  0.13450  2.68   79985   10758  374946  1039456  13.00
GBR_NP   2010-2019     80-84     0.05328  0.23679  2.65   69227   16393  307663   664510   9.60
GBR_NP   2010-2019     85-89     0.09997  0.40143  2.55   52835   21209  212157   356847   6.75
GBR_NP   2010-2019     90-94     0.18111  0.61217  2.35   31625   19360  106897   144690   4.58
GBR_NP   2010-2019     95-99     0.30172  0.80109  2.07   12265    9826   32565    37793   3.08
GBR_NP   2010-2019    100-104    0.45621  0.91681  1.74    2440    2237    4903     5228   2.14
GBR_NP   2010-2019    105-109    0.62094  0.96705  1.44     203     196     316      325   1.60
GBR_NP   2010-2019    110+       0.74659  1.00000  1.34       7       7       9        9   1.34
GBR_NP   2020-2022        0      0.00350  0.00349  0.14  100000     349   99701  8258638  82.59
GBR_NP   2020-2022      1-4      0.00012  0.00047  1.54   99651      47  398489  8158937  81.87
GBR_NP   2020-2022      5-9      0.00006  0.00029  2.42   99604      29  497945  7760448  77.91
GBR_NP   2020-2022     10-14     0.00007  0.00037  2.81   99575      37  497793  7262503  72.94
GBR_NP   2020-2022     15-19     0.00015  0.00077  2.78   99538      77  497518  6764710  67.96
GBR_NP   2020-2022     20-24     0.00022  0.00112  2.54   99461     111  497030  6267192  63.01
GBR_NP   2020-2022     25-29     0.00030  0.00148  2.65   99350     147  496402  5770162  58.08
GBR_NP   2020-2022     30-34     0.00046  0.00230  2.75   99202     228  495497  5273760  53.16
GBR_NP   2020-2022     35-39     0.00076  0.00381  2.72   98974     377  494011  4778263  48.28
GBR_NP   2020-2022     40-44     0.00118  0.00589  2.66   98597     580  491624  4284252  43.45
GBR_NP   2020-2022     45-49     0.00185  0.00922  2.68   98016     904  487987  3792628  38.69
GBR_NP   2020-2022     50-54     0.00277  0.01376  2.64   97112    1336  482414  3304642  34.03
GBR_NP   2020-2022     55-59     0.00416  0.02059  2.66   95776    1972  474260  2822228  29.47
